,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1865,Honkai Impact 3rd,GAME,4.7,59017,82M,59017,Free,0,Teen,Action,"July 3, 2018",2.2.1,4.3 and up
2013,Dog Run - Pet Dog Simulator,GAME,4.7,48615,24M,48615,Free,0,Everyone,Simulation;Action & Adventure,"May 22, 2018",1.4.12,4.1 and up
1656,Solitaire,GAME,4.7,254258,23M,254258,Free,0,Everyone,Card,"August 1, 2018",2.137.0,4.1 and up
8088,Cytus,GAME,4.7,541732,20M,541732,Free,0,Everyone,Music,"February 9, 2018",10.0.10,2.3 and up
4820,Z Champions,GAME,4.7,96028,59M,96028,Free,0,Teen,Arcade,"May 28, 2018",Varies with device,4.0 and up
1708,Toon Blast,GAME,4.7,1351068,Varies with device,1351068,Free,0,Everyone,Puzzle,"July 30, 2018",3196,4.1 and up
5646,Five Nights at Flappy's,GAME,4.7,4041,24M,4041,Free,0,Everyone,Arcade,"June 27, 2017",1.5.14,2.3.3 and up
1712,Toy Blast,GAME,4.7,1889250,Varies with device,1889250,Free,0,Everyone,Puzzle,"July 23, 2018",5423,4.1 and up
4410,Rock N' Cash Casino Slots -Free Vegas Slot Games,GAME,4.7,6187,33M,6187,Free,0,Teen,Casino,"July 27, 2018",1.15.0,4.0.3 and up
1715,Word Search,GAME,4.7,295305,3.9M,295305,Free,0,Everyone,Word,"June 6, 2018",1.1.3,3.0 and up
4319,Korean Dungeon: K-Word 1000,GAME,4.7,703,40M,703,Free,0,Everyone 10+,Word,"November 17, 2017",1.0.4,4.1 and up
6442,BL!TZ - Endless,GAME,4.7,21,9.0M,21,Free,0,Everyone,Arcade,"June 30, 2017",10.05,4.0.3 and up
5504,Guess the Class 🔥 AQW,GAME,4.7,57,12M,57,Free,0,Everyone,Word,"November 1, 2017",1.0.0,4.1 and up
6350,BlackJack -21 Casino Card Game,GAME,4.7,2066,25M,2066,Free,0,Teen,Casino,"March 14, 2018",1.3,4.0.3 and up
6323,Cards Casino:Video Poker & BJ,GAME,4.7,325,23M,325,Free,0,Teen,Casino,"May 8, 2015",7.0,2.3.3 and up
1738,Pixel Art: Color by Number Game,GAME,4.7,1125017,25M,1125017,Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up
6301,Bingo Party - Free Bingo Games,GAME,4.7,155694,92M,155694,Free,0,Teen,Board,"July 13, 2018",2.1.1,4.0.3 and up
1677,Bubble Witch 3 Saga,GAME,4.7,1732263,78M,1732263,Free,0,Everyone,Puzzle,"July 17, 2018",4.8.4,3.0 and up
1727,Zombie Catchers,GAME,4.7,990586,75M,990586,Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up
4231,Solitaire!,GAME,4.7,403911,23M,403911,Free,0,Everyone,Card,"June 24, 2018",2.277.0,4.1 and up
6077,Bowmasters,GAME,4.7,1535581,Varies with device,1535581,Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up
7753,RIDE ZERO,GAME,4.6,8778,36M,8778,Free,0,Teen,Music,"January 2, 2018",1.3.1,4.3 and up
1941,Major Mayhem,GAME,4.6,520962,39M,520962,Free,0,Teen,Action,"June 28, 2017",108,4.0 and up
10431,Forgotten Hill Mementoes,GAME,4.6,2027,56M,2027,Free,0,Teen,Adventure,"March 19, 2018",1.5,4.1 and up
7693,IV Go（get IV for Pokemon）,GAME,4.6,132282,20M,132282,Free,0,Everyone,Adventure,"July 31, 2018",15.0,4.1 and up
7752,Toughest Game Ever 2,GAME,4.6,293086,Varies with device,293086,Free,0,Everyone,Action,"October 22, 2015",8.1,4.0.3 and up
7648,Chinese Chess ( Xiangqi Free ),GAME,4.6,963,4.1M,963,Free,0,Everyone,Board,"April 18, 2017",1.1.1,2.3 and up
1912,Shoot Bubble - Fruit Splash,GAME,4.6,29445,29M,29445,Free,0,Everyone,Casual,"May 11, 2018",14.0,4.0.3 and up
7267,Special Forces Group 2,GAME,4.6,1432809,29M,1432809,Free,0,Mature 17+,Action,"July 29, 2018",3.3,4.0 and up
4046,Geometry Dash Meltdown,GAME,4.6,1591129,48M,1591129,Free,0,Everyone,Arcade,"December 22, 2017",1.01,4.0 and up
6287,Bi-Tank,GAME,4.6,12,18M,12,Free,0,Everyone,Arcade,"July 31, 2017",Varies with device,4.1 and up
4155,G-Switch 3,GAME,4.6,3656,39M,3656,Free,0,Everyone,Action,"March 15, 2018",1.1.3,3.0 and up
5954,Space Shooter : Galaxy Attack,GAME,4.6,169661,40M,169661,Free,0,Everyone,Arcade,"August 1, 2018",1.246,4.1 and up
4314,Magic Tiles - Blackpink Edition (K-Pop),GAME,4.6,4304,71M,4304,Free,0,Everyone,Music,"June 20, 2018",1900001,4.0 and up
7151,Sonic CD Classic,GAME,4.6,26138,15M,26138,Free,0,Everyone,Action,"February 14, 2018",1.0.2,4.2 and up
5818,Zlax.io Zombs Luv Ax,GAME,4.6,6344,32M,6344,Free,0,Everyone,Action,"April 4, 2018",1.7,4.1 and up
5794,Axetatic - Axe Throwing Game,GAME,4.6,29,31M,29,Free,0,Everyone 10+,Arcade,"October 22, 2017",1.3.3,4.2 and up
5541,Guns Royale - Multiplayer Blocky Battle Royale,GAME,4.6,19070,90M,19070,Free,0,Everyone 10+,Action,"August 4, 2018",1.0,Varies with device
3936,Alto's Adventure,GAME,4.6,515240,63M,515240,Free,0,Everyone,Action,"June 5, 2018",1.7.1,4.0 and up
2006,Rush,GAME,4.6,260651,51M,260651,Free,0,Everyone,Arcade,"February 14, 2018",1.1,4.0 and up
2002,Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,Varies with device,155186,Free,0,Everyone,Puzzle,"August 3, 2018",1.3.35,4.1 and up
1998,Stick War: Legacy,GAME,4.6,811040,77M,811040,Free,0,Teen,Strategy,"May 10, 2018",1.7.04,4.4 and up
1997,1LINE – One Line with One Touch,GAME,4.6,214878,10M,214878,Free,0,Everyone,Board,"August 3, 2018",2.0.4,4.1 and up
1994,Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,125647,Free,0,Everyone,Casual,"July 23, 2018",60,4.1 and up
1978,Earn to Die 2,GAME,4.6,1327269,99M,1327269,Free,0,Teen,Racing,"April 12, 2017",1.3,2.3.3 and up
6999,Slot Machines by IGG,GAME,4.6,267229,24M,267229,Free,0,Teen,Casino,"May 28, 2018",1.7.4,2.3 and up
1971,Jewels Legend - Match 3 Puzzle,GAME,4.6,280098,50M,280098,Free,0,Everyone,Arcade,"July 20, 2018",2.11.2,4.0.3 and up
7046,BZ Fingers,GAME,4.6,15,3.2M,15,Free,0,Everyone,Arcade,"July 5, 2017",1.3,4.0.3 and up
1962,War Robots,GAME,4.6,3073251,33M,3073251,Free,0,Everyone 10+,Action,"July 25, 2018",4.1.1,4.1 and up
7066,Sniper Gun Shot 3D: Impossible Missions,GAME,4.6,20,34M,20,Free,0,Mature 17+,Action,"May 4, 2018",1.0,4.0 and up
6898,BW-Go Free,GAME,4.6,547,1.3M,547,Free,0,Everyone,Board,"June 18, 2015",4.8.1,2.3 and up
7937,Shadow Fight 2,GAME,4.6,10981850,88M,10981850,Free,0,Everyone 10+,Action,"July 2, 2018",1.9.38,3.0 and up
8748,The Walking Zombie: Dead City,GAME,4.6,58575,96M,58575,Free,0,Teen,Action,"February 21, 2018",2.55,4.1 and up
8880,Wheelie Challenge,GAME,4.6,137338,51M,137338,Free,0,Everyone,Racing,"July 13, 2018",1.44,4.1 and up
8764,Dr. Parker : Real car parking simulation,GAME,4.6,15829,95M,15829,Free,0,Everyone,Racing,"July 24, 2018",1.29,4.0 and up
1780,Looper!,GAME,4.6,48256,62M,48256,Free,0,Everyone,Puzzle,"July 20, 2018",1.2.0,4.1 and up
1787,Hello Stars,GAME,4.6,101686,31M,101686,Free,0,Everyone,Puzzle,"August 4, 2018",1.8.2,4.1 and up
8757,Dr. Driving 2,GAME,4.6,358633,19M,358633,Free,0,Everyone,Racing,"May 3, 2018",1.32,4.0.3 and up
1743,Hill Climb Racing 2,GAME,4.6,2750410,Varies with device,2750410,Free,0,Everyone,Racing,"August 2, 2018",1.17.2,4.2 and up
1799,Word Link,GAME,4.6,216675,30M,216675,Free,0,Everyone,Word,"August 1, 2018",2.2.7,4.1 and up
1802,Partymasters - Fun Idle Game,GAME,4.6,541144,63M,541144,Free,0,Teen,Arcade,"July 12, 2018",1.2.5,5.0 and up
1807,Disney Heroes: Battle Mode,GAME,4.6,102107,Varies with device,102107,Free,0,Everyone 10+,Strategy,"July 31, 2018",1.2.2,Varies with device
1811,MLB TAP SPORTS BASEBALL 2018,GAME,4.6,32506,82M,32506,Free,0,Everyone,Sports,"June 27, 2018",1.2.1,4.2 and up
1696,Geometry Dash World,GAME,4.6,760628,63M,760628,Free,0,Everyone,Arcade,"December 22, 2017",1.03,4.0 and up
1817,SHADOWGUN LEGENDS,GAME,4.6,100609,52M,100609,Free,0,Teen,Action,"July 16, 2018",0.5.4,6.0 and up
10033,ETERNITY WARRIORS 2,GAME,4.6,568391,5.2M,568391,Free,0,Teen,Action,"July 1, 2014",4.3.1,2.1 and up
9724,EP Gem Hunter,GAME,4.6,79,31M,79,Free,0,Everyone 10+,Action,"January 17, 2016",1.1.0,2.3 and up
9614,TRANSFORMERS: Forged to Fight,GAME,4.6,291941,90M,291941,Free,0,Everyone 10+,Action,"July 27, 2018",6.3.2,4.0.3 and up
9607,PokerStars Play: Free Texas Holdem Poker Game,GAME,4.6,14989,78M,14989,Free,0,Teen,Card,"July 6, 2018",1.9.2,4.0.3 and up
1739,Dream League Soccer 2018,GAME,4.6,9882639,74M,9882639,Free,0,Everyone,Sports,"July 16, 2018",5.064,4.4 and up
1723,Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495,Varies with device,7672495,Free,0,Mature 17+,Action,"August 2, 2018",Varies with device,Varies with device
9587,HAWK – Force of an Arcade Shooter. Shoot 'em up,GAME,4.6,190274,46M,190274,Free,0,Everyone,Arcade,"July 9, 2018",Varies with device,4.1 and up
9579,Live Hold’em Pro Poker - Free Casino Games,GAME,4.6,1123190,Varies with device,1123190,Free,0,Teen,Card,"August 7, 2018",Varies with device,Varies with device
1737,Talking Tom Gold Run,GAME,4.6,2698348,78M,2698348,Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up
1814,Ice Crush 2018 - A new Puzzle Matching Adventure,GAME,4.6,15403,25M,15403,Free,0,Everyone,Casual,"August 2, 2018",1.8.1,4.1 and up
1790,Castle Clash: Heroes of the Empire US,GAME,4.6,4578476,24M,4578476,Free,0,Everyone 10+,Strategy,"July 17, 2018",1.4.51,4.1 and up
5540,Guns of Boom - Online Shooter,GAME,4.6,1226514,99M,1226514,Free,0,Teen,Action,"July 20, 2018",4.4.4,4.1 and up
1850,Best Fiends - Free Puzzle Game,GAME,4.6,1480189,Varies with device,1480189,Free,0,Everyone,Casual,"August 2, 2018",5.8.1,Varies with device
1883,Block Puzzle,GAME,4.6,59907,7.8M,59907,Free,0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up
1888,Homescapes,GAME,4.6,3093932,Varies with device,3093932,Free,0,Everyone,Casual,"July 13, 2018",1.8.0.900,4.0.3 and up
8188,Quiz TRUE or FALSE,GAME,4.6,2464,34M,2464,Free,0,Everyone,Trivia,"February 13, 2018",1.1,4.1 and up
1894,Gardenscapes,GAME,4.6,4129665,Varies with device,4129665,Free,0,Everyone,Casual,"July 13, 2018",2.6.2,4.0.3 and up
1895,Fishdom,GAME,4.6,2158580,Varies with device,2158580,Free,0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up
8428,Defender,GAME,4.6,152395,14M,152395,Free,0,Everyone 10+,Action,"July 22, 2016",1.1.9,2.3 and up
1878,Clash Royale,GAME,4.6,23136735,97M,23136735,Free,0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up
1853,Choices: Stories You Play,GAME,4.6,807338,93M,807338,Free,0,Teen,Simulation,"July 30, 2018",2.3.5,4.0.3 and up
1862,FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83M,745684,Free,0,Teen,Role Playing,"July 17, 2018",3.0.2,4.0.3 and up
1840,DRAGON BALL LEGENDS,GAME,4.6,337913,48M,337913,Free,0,Teen,Action,"August 3, 2018",1.11.0,6.0 and up
1896,Galaxy Attack: Alien Shooter,GAME,4.6,506593,Varies with device,506593,Free,0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up
8185,Geometry Dash SubZero,GAME,4.6,260527,49M,260527,Free,0,Everyone,Arcade,"December 21, 2017",1.00,4.0 and up
1845,Fallout Shelter,GAME,4.6,2719142,25M,2719142,Free,0,Teen,Simulation,"June 11, 2018",1.13.12,4.1 and up
1843,Angry Birds 2,GAME,4.6,3883589,57M,3883589,Free,0,Everyone,Casual,"July 26, 2018",2.21.1,4.1 and up
1897,Score! Hero,GAME,4.6,5419676,96M,5419676,Free,0,Everyone,Sports,"June 13, 2018",1.751,4.4 and up
1879,Clash of Clans,GAME,4.6,44893888,98M,44893888,Free,0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up
5618,Five Nights at Freddy's 3 Demo,GAME,4.5,1041836,50M,1041836,Free,0,Teen,Action,"April 2, 2015",1.07,2.3 and up
6309,BJ's Bingo & Gaming Casino,GAME,4.5,501,65M,501,Free,0,Teen,Casino,"July 26, 2018",5.0.1.3,4.3 and up
10189,Heart of Vegas™ Slots – Free Slot Casino Games,GAME,4.5,264282,48M,264282,Free,0,Teen,Casino,"July 12, 2018",3.10.43,4.0.3 and up
9850,Oggy,GAME,4.5,49971,61M,49971,Free,0,Everyone,Arcade,"August 29, 2017",1.3.1,4.0.3 and up
8239,DB Ultra Saiyan Battle,GAME,4.5,33,44M,33,Free,0,Everyone 10+,Action,"July 25, 2018",1.3.7,2.3 and up
5607,SAMURAI vs ZOMBIES DEFENSE,GAME,4.5,407788,19M,407788,Free,0,Everyone,Action,"July 18, 2013",3.4.0,2.1 and up
6097,Bullet Force,GAME,4.5,634159,58M,634159,Free,0,Teen,Action,"June 21, 2018",1.40,4.2 and up
9595,Fun Texas Hold'em Poker,GAME,4.5,32831,24M,32831,Free,0,Teen,Casino,"May 12, 2017",17.05.11,4.0.3 and up
9641,Chess Free,GAME,4.5,1375988,15M,1375988,Free,0,Everyone,Board,"June 7, 2018",2.72,4.1 and up
9597,Dragonplay™ Poker Texas Holdem,GAME,4.5,197979,Varies with device,197979,Free,0,Teen,Card,"August 7, 2018",Varies with device,Varies with device
9601,World Series of Poker – WSOP Free Texas Holdem,GAME,4.5,910051,76M,910051,Free,0,Teen,Card,"August 2, 2018",5.11.0,4.1 and up
5797,Axe Knight,GAME,4.5,52,33M,52,Free,0,Everyone,Action,"June 26, 2018",1.0.5,4.1 and up
7812,Standoff 2,GAME,4.5,299046,47M,299046,Free,0,Mature 17+,Action,"July 12, 2018",0.9.5,4.1 and up
9604,Texas Holdem Poker Pro,GAME,4.5,114479,26M,114479,Free,0,Teen,Card,"December 20, 2017",4.7.0,3.0 and up
10673,Magnum 3.0 Gun Custom SImulator,GAME,4.5,16815,59M,16815,Free,0,Teen,Action,"August 4, 2018",1.0404,4.0.3 and up
7817,Ultimate Quiz for CS:GO - Skins | Cases | Players,GAME,4.5,2526,22M,2526,Free,0,Everyone,Trivia,"February 14, 2018",1.3.0,4.1 and up
8460,Nyan Cat: Lost In Space,GAME,4.5,371318,90M,371318,Free,0,Everyone 10+,Arcade,"June 8, 2018",10.1.6,4.1 and up
8252,Ultimate DC Challenge,GAME,4.5,937,35M,937,Free,0,Everyone,Trivia,"October 19, 2017",2.14.5e,4.0.3 and up
9559,Adivina el cantante de Trap y Reggaeton,GAME,4.5,1914,24M,1914,Free,0,Everyone,Trivia,"June 29, 2018",3.6.7z,4.0.3 and up
8621,Free Poker Games : Downtown Casino - Texas Holdem,GAME,4.5,2032,50M,2032,Free,0,Teen,Card,"June 5, 2018",0.1.27,4.1 and up
8457,Robbery Bob,GAME,4.5,617732,44M,617732,Free,0,Everyone 10+,Action,"July 29, 2018",1.18.4,4.1 and up
7068,Elite Commando Shooting War,GAME,4.5,14,45M,14,Free,0,Teen,Action,"June 29, 2018",1.0,4.0 and up
6902,BW-DGS plugin,GAME,4.5,70,691k,70,Free,0,Everyone,Board,"May 13, 2018",1.6.0,4.0 and up
10436,Forgotten Hill: Surgery,GAME,4.5,2431,24M,2431,Free,0,Teen,Adventure,"November 3, 2017",1.4,3.0 and up
8671,Endless Ducker,GAME,4.5,8193,41M,8193,Free,0,Everyone,Arcade,"September 16, 2016",1.0.7,4.0.3 and up
8447,Archery Physics Objects Destruction Apple shooter,GAME,4.5,6026,39M,6026,Free,0,Teen,Action,"July 7, 2018",1.04,4.1 and up
7474,CKZ ORIGINS,GAME,4.5,219821,10M,219821,Free,0,Mature 17+,Action,"October 28, 2013",2.0.1,2.1 and up
8432,Texas HoldEm Poker Deluxe,GAME,4.5,396090,26M,396090,Free,0,Teen,Casino,"May 30, 2018",1.7.0,4.0.3 and up
7604,StirFry Stunts - We Bare Bears,GAME,4.5,121533,63M,121533,Free,0,Everyone,Arcade,"March 24, 2016",1.0.0,2.3.3 and up
8763,Dr. Parker : Parking Simulator,GAME,4.5,14253,81M,14253,Free,0,Everyone,Racing,"January 18, 2018",3.1,4.0 and up
6719,Block Strike,GAME,4.5,947515,60M,947515,Free,0,Teen,Action,"July 25, 2018",5.3.1,4.1 and up
8315,Checkers,GAME,4.5,375996,3.3M,375996,Free,0,Everyone,Board,"August 6, 2018",1.48.0,4.1 and up
8917,Sword of Chaos - Lame du Chaos,GAME,4.5,23599,96M,23599,Free,0,Teen,Action,"June 1, 2018",11.0.2,4.0 and up
8308,Piano Free - Keyboard with Magic Tiles Music Games,GAME,4.5,785622,Varies with device,785622,Free,0,Everyone,Music,"June 29, 2018",1.35.2,4.1 and up
10440,Forgotten Hill: Puppeteer,GAME,4.5,2917,22M,2917,Free,0,Teen,Adventure,"October 30, 2017",2.6,2.3 and up
9122,Ludo Dz,GAME,4.5,17,28M,17,Free,0,Everyone,Board,"August 27, 2017",1.0,4.1 and up
6694,Texas HoldEm Poker Deluxe (BR),GAME,4.5,1418,26M,1418,Free,0,Teen,Casino,"May 30, 2018",1.2.1,4.0.3 and up
9163,Asphalt Xtreme: Rally Racing,GAME,4.5,567984,39M,567984,Free,0,Everyone,Racing,"July 16, 2018",1.7.3b,4.0.3 and up
6573,Bomber Friends,GAME,4.5,776730,49M,776730,Free,0,Everyone 10+,Action,"July 26, 2018",2.23,4.0.3 and up
6571,Bounce Classic,GAME,4.5,38297,6.4M,38297,Free,0,Everyone,Arcade,"July 5, 2018",1.0.8,4.0.3 and up
10371,Angry Birds Space HD,GAME,4.5,43645,46M,43645,Free,0,Everyone,Arcade,"May 25, 2018",2.2.13,4.1 and up
6402,Blood Domination - BL Game,GAME,4.5,415,52M,415,Free,0,Mature 17+,Adventure,"July 6, 2018",1.0.1,4.1 and up
6352,BlackJack 21 Pro,GAME,4.5,26744,51M,26744,Free,0,Teen,Casino,"July 27, 2018",7.4.0,4.0.3 and up
9393,Guess The Emoji,GAME,4.5,76627,23M,76627,Free,0,Everyone,Word,"July 3, 2018",8.16g,4.2 and up
5380,Vikings: an Archer's Journey,GAME,4.5,10256,39M,10256,Free,0,Everyone,Action,"December 11, 2017",2.1.0,4.3 and up
5377,Who am I? (Biblical),GAME,4.5,5849,5.1M,5849,Free,0,Everyone,Trivia,"September 13, 2017",1.2.2_comAds,4.0.3 and up
1781,Trivia Crack,GAME,4.5,6427773,95M,6427773,Free,0,Everyone,Trivia,"August 3, 2018",2.79.0,4.1 and up
1793,Mini Golf King - Multiplayer Game,GAME,4.5,531458,100M,531458,Free,0,Everyone,Sports,"July 20, 2018",3.04.1,4.0.3 and up
1796,Mad Skills BMX 2,GAME,4.5,29940,80M,29940,Free,0,Everyone,Action,"July 26, 2018",1.1.4,4.1 and up
1805,Grim Soul: Dark Fantasy Survival,GAME,4.5,189773,95M,189773,Free,0,Teen,Role Playing,"July 18, 2018",1.1.1,4.1 and up
1810,Word Crossy - A crossword game,GAME,4.5,240416,53M,240416,Free,0,Everyone,Word,"August 1, 2018",2.2.3,4.0.3 and up
1819,Mafia City,GAME,4.5,168717,56M,168717,Free,0,Mature 17+,Strategy,"August 3, 2018",1.3.205,2.3 and up
1828,Chapters: Interactive Stories,GAME,4.5,73539,96M,73539,Free,0,Mature 17+,Role Playing,"August 2, 2018",1.3.3,4.3 and up
1854,Solitaire TriPeaks,GAME,4.5,446434,52M,446434,Free,0,Everyone,Card,"August 1, 2018",4.6.2.46103,4.0.3 and up
1855,Merge Dragons!,GAME,4.5,214819,91M,214819,Free,0,Everyone,Puzzle,"July 30, 2018",3.6.0,4.1 and up
1893,Yes day,GAME,4.5,10055521,94M,10055521,Free,0,Everyone,Casual,"June 28, 2018",1_39_93,4.0.3 and up
1707,Cooking Fever,GAME,4.5,3197865,82M,3197865,Free,0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up
1694,Minion Rush: Despicable Me Official Game,GAME,4.5,10216538,Varies with device,10216538,Free,0,Everyone 10+,Casual;Action & Adventure,"July 12, 2018",Varies with device,Varies with device
1710,My Talking Angela,GAME,4.5,9881908,99M,9881908,Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up
1748,ROBLOX,GAME,4.5,4448791,67M,4448791,Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up
1734,Super Jim Jump - pixel 3d,GAME,4.5,10434,18M,10434,Free,0,Everyone,Arcade,"July 11, 2018",2.2.3181,4.0 and up
1736,Roll the Ball® - slide puzzle,GAME,4.5,1385093,35M,1385093,Free,0,Everyone,Puzzle,"August 2, 2018",1.7.40,4.1 and up
1745,Knife Hit,GAME,4.5,461137,60M,461137,Free,0,Everyone,Arcade,"May 22, 2018",1.7.2,4.0.3 and up
1746,Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57M,946926,Free,0,Everyone,Simulation,"March 5, 2018",2.10.2,4.0.3 and up
